Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
Jan 8,Percabeth,Ineffable Husbands,Hannigram,Zosan,Luberto,Sonadow,Ghostsoap,Steddie,Satosugu,Jegulus,Broppy,Destiel,Astarion x Tav,Scollace,Soukoku,Hualian,Wolfstar,Lokius,Zolu,Superbat
Jan 15,Percabeth,Ineffable Husbands,Sonadow,Zosan,Satosugu,Ghostsoap,Destiel,Hannigram,Steddie,Jegulus,Hualian,Narilamb,Broppy,Astarion x Tav,Soukoku,Zolu,Wolfstar,Superbat,Blackbonnet,Byler
Jan 22,Percabeth,Ineffable Husbands,Huskerdust,Zosan,Satosugu,Byler,Sonadow,Ghostsoap,Steddie,Hannigram,Destiel,Hualian,Jegulus,Narilamb,Farcille,Astarion x Tav,Samfrodo,Soukoku,Jonmartin,Spirk
Jan 29,Huskerdust,Ineffable Husbands,Percabeth,Satosugu,Zosan,Destiel,Chaggie,Hannigram,Ghostsoap,Narilamb,Steddie,Staticradio,Jegulus,Byler,Sonadow,Wolfstar,Astarion x Tav,Hualian,Soukoku,Farcille
Feb 5,Huskerdust,Percabeth,Ineffable Husbands,Sonadow,Chaggie,Satosugu,Hannigram,Zosan,Radioapple,Ghostsoap,Steddie,Staticradio,Jegulus,Narilamb,Soukoku,Farcille,Shuake,Cherrisnake,Destiel,Astarion x Tav
Feb 12,Radioapple,Huskerdust,Ineffable Husbands,Percabeth,Sonadow,Satosugu,Chaggie,Hannigram,Zosan,Ghostsoap,Staticmoth,Steddie,Narilamb,Staticradio,Destiel,Jegulus,Farcille,Astarion x Tav,Buddie,Soukoku
Mar 11,Radioapple,Ineffable Husbands,Farcille,Huskerdust,Destiel,Chaggie,Satosugu,Lestappen,Hannigram,Zutara,Narilamb,Buddie,Zukka,Soukoku,Ghostsoap,Zosan,Jegulus,Steddie,Percabeth,Staticradio
Mar 18,Buddie,Radioapple,Ineffable Husbands,Farcille,Huskerdust,Satosugu,Wilmon,Staticradio,Destiel,Chaggie,Hannigram,Percabeth,Zosan,Ghostsoap,Narilamb,Steddie,Jegulus,Richonne,Zukka,Soukoku
Mar 25,Farcille,Radioapple,Ineffable Husbands,Huskerdust,Richonne,Satosugu,Wilmon,Narilamb,Buddie,Destiel,Hannigram,Byler,Percabeth,Ghostsoap,Steddie,Zosan,Chaggie,Radiorose,Staticradio,Jegulus
Apr 1,Farcille,Radioapple,Ineffable Husbands,Buddie,Huskerdust,Satosugu,Percabeth,Hannigram,Narilamb,Ghostsoap,Zukka,Destiel,Steddie,Jegulus,Radiorose,Chaggie,Richonne,Chilshi,Hanamusa,Wolfstar
Apr 8,Buddie,Farcille,Radioapple,Shourtney,Ineffable Husbands,Bucktommy,Destiel,Huskerdust,Satosugu,Hannigram,Ivantill,Narilamb,Percabeth,Soukoku,Steddie,Jegulus,Phan,Ghostsoap,Zukka,Labru
Apr 15,Buddie,Bucktommy,Farcille,Ineffable Husbands,Radioapple,Polin,Huskerdust,Narilamb,Destiel,Ivantill,Phan,Satosugu,Hannigram,Ghostsoap,Steddie,Percabeth,Jegulus,Chaggie,Labru,Soukoku
Apr 22,Farcille,Buddie,Bucktommy,Ineffable Husbands,Radioapple,Narilamb,Destiel,Satosugu,Hannigram,Chilshi,Jerejean,Huskerdust,Labru,Phan,Steddie,Chaggie,Adrienette,Jegulus,Ghostsoap,Wolfstar
Apr 29,Farcille,Buddie,Hannigram,Radioapple,Ineffable Husbands,Labru,Phan,Destiel,Narilamb,Bucktommy,Satosugu,Steddie,Sonadow,Ghostsoap,Stolitz,Jegulus,Zosan,Huskerdust,Wolfstar,Soukoku
May 6,Farcille,Bucktommy,Buddie,Destiel,Labru,Ineffable Husbands,Radioapple,Phan,Hannigram,Narilamb,Lestappen,Stolitz,Satosugu,Jegulus,Ghostsoap,Polin,Ratiorine,Payneland,Steddie,Sonadow
