Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,16th,17th,18th,19th,20th
Jan 8,GoodTimesWithScar,The QSMP Minecraft Server,Fantasy High: Junior Year,Hermitcraft,Jellie The Cat,Homestuck,The Amazing Digital Circus,Grian,Starkid,Critical Role,Matt Sturniolo,Chris Sturniolo,The Magnus Archives,Nick Sturniolo,PearlescentMoon,Dan and Phil,The Welcome Home ARG,Crumb,EthosLab,RWBY
Jan 15,Fantasy High: Junior Year,Hazbin Hotel,The QSMP Minecraft Server,Critical Role,Homestuck,Hermitcraft,Grian,The Amazing Digital Circus,Matpat,GoodTimesWithScar,Matt Sturniolo,The Magnus Archives,Chris Sturniolo,Tubbo,Nick Sturniolo,Starkid,PearlescentMoon,Brennan Lee Mulligan,EthosLab,RWBY
Jan 22,The Magnus Protocol,The QSMP Minecraft Server,The Magnus Archives,Fantasy High: Junior Year,Hermitcraft,Dan and Phil,Fantasy High,Critical Role,Grian,Homestuck,GoodTimesWithScar,The Amazing Digital Circus,Hbomberguy,Tubbo,PearlescentMoon,Chris Sturniolo,Matt Sturniolo,Make Some Noise,Nick Sturniolo,Helluva Boss
Jan 29,The Magnus Protocol,Fantasy High: Junior Year,The QSMP Minecraft Server,Hermitcraft,The Magnus Archives,Crow Time,Homestuck,Grian,Helluva Boss,The Amazing Digital Circus,Chris Sturniolo,Matt Sturniolo,GoodTimesWithScar,Critical Role,Dan and Phil,Nick Sturniolo,Crumb,PearlescentMoon,EthosLab,Hatsune Miku
Feb 5,Hermitcraft,The QSMP Minecraft Server,Fantasy High: Junior Year,Dan and Phil,The Magnus Protocol,Grian,GoodTimesWithScar,Skizzleman,Critical Role,SmallishBeans,Homestuck,Helluva Boss,The Magnus Archives,GeminiTay,The Amazing Digital Circus,Mumbo Jumbo,EthosLab,ImpulseSV,PearlescentMoon,Chris Sturniolo
Feb 12,Hermitcraft,The QSMP Minecraft Server,Fantasy High: Junior Year,Grian,GeminiTay,The Magnus Protocol,The Walten Files,GoodTimesWithScar,Homestuck,Critical Role,The Magnus Archives,Helluva Boss,Skizzleman,EthosLab,SmallishBeans,ImpulseSV,Matt Sturniolo,Mumbo Jumbo,Chris Sturniolo,The Amazing Digital Circus
Mar 11,Hermitcraft,The Welcome Home ARG,The Magnus Protocol,Fantasy High: Junior Year,The QSMP Minecraft Server,Hatsune Miku,The Magnus Archives,Grian,Homestuck,RWBY,Critical Role,The Amazing Digital Circus,GoodTimesWithScar,EthosLab,Amaury Guichon,GeminiTay,Chris Sturniolo,Matt Sturniolo,Nick Sturniolo,Dan and Phil
Mar 18,Hermitcraft,The Magnus Protocol,Fantasy High: Junior Year,The Welcome Home ARG,Grian,The QSMP Minecraft Server,The Magnus Archives,Dan and Phil,Critical Role,EthosLab,Homestuck,GoodTimesWithScar,SmallishBeans,GeminiTay,Matt Sturniolo,Hatsune Miku,Chris Sturniolo,The Amazing Digital Circus,Game Changer,Nick Sturniolo
Mar 25,Hermitcraft,Fantasy High: Junior Year,The QSMP Minecraft Server,EthosLab,Grian,The Magnus Archives,Dan and Phil,The Magnus Protocol,Homestuck,Critical Role,SmallishBeans,PearlescentMoon,GoodTimesWithScar,Mumbo Jumbo,The Amazing Digital Circus,GeminiTay,The Welcome Home ARG,Matt Sturniolo,Chris Sturniolo,Hatsune Miku
Apr 1,Hermitcraft,Fantasy High: Junior Year,Grian,The Magnus Archives,Homestuck,GoodTimesWithScar,Boop,EthosLab,The QSMP Minecraft Server,PearlescentMoon,Dungeons and Daddies,SmallishBeans,Matt Sturniolo,Chris Sturniolo,Dan and Phil,RWBY,The Magnus Protocol,The Welcome Home ARG,The Amazing Digital Circus,GeminiTay
Apr 8,Boop,Hermitcraft,Smosh,Fantasy High: Junior Year,Alien Stage,Grian,Dan and Phil,The Magnus Archives,GoodTimesWithScar,PearlescentMoon,Homestuck,Critical Role,GeminiTay,Shayne Topp,Real Life SMP,SmallishBeans,Courtney Miller,EthosLab,Amaury Guichon,Skizzleman
Apr 15,Homestuck,Fantasy High: Junior Year,Critical Role,Hermitcraft,Game Changer,Dan and Phil,Grian,The Magnus Protocol,Alien Stage,The Magnus Archives,Brennan Lee Mulligan,GoodTimesWithScar,GeminiTay,PearlescentMoon,Boop,Sam Reich,The QSMP Minecraft Server,SmallishBeans,EthosLab,Matt Sturniolo
Apr 22,Fantasy High: Junior Year,Hermitcraft,Critical Role,The Magnus Protocol,Homestuck,Grian,The Magnus Archives,Watcher,TommyInnit,Dan and Phil,Hatsune Miku,EthosLab,The Amazing Digital Circus,GoodTimesWithScar,The QSMP Minecraft Server,GeminiTay,SmallishBeans,Alien Stage,Matt Sturniolo,Brennan Lee Mulligan
Apr 29,Game Changer,Watcher,Fantasy High: Junior Year,Helluva Boss,Hermitcraft,EPIC: The Musical,The Magnus Archives,The Magnus Protocol,Homestuck,Dan and Phil,Grian,EthosLab,Hatsune Miku,The Amazing Digital Circus,Matt Sturniolo,Starkid,Critical Role,Chris Sturniolo,GoodTimesWithScar,The QSMP Minecraft Server
May 6,The Amazing Digital Circus,Dimension 20,Hermitcraft,Dracula Daily,Helluva Boss,Dan and Phil,Critical Role,Homestuck,AmazingPhil,The Magnus Archives,GoodTimesWithScar,EthosLab,Grian,Hatsune Miku,Game Changer,Daniel Howell,Brennan Lee Mulligan,The Magnus Protocol,The QSMP Minecraft Server,Matt Sturniolo
May 13,The Amazing Digital Circus,Dimension 20,Hermitcraft,Critical Role,The Magnus Protocol,James Somerton,Homestuck,The Magnus Archives,Hbomberguy,Dan and Phil,SmallishBeans,Dracula Daily,Game Changer,Brennan Lee Mulligan,Grian,EthosLab,iskall85,Hatsune Miku,Matt Sturniolo,GeminiTay
May 20,Fantasy High: Junior Year,The Amazing Digital Circus,Critical Role,Hermitcraft,Dan and Phil,The QSMP Minecraft Server,The Magnus Protocol,Homestuck,The Magnus Archives,Dracula Daily,Brennan Lee Mulligan,Daniel Howell,Grian,EthosLab,SmallishBeans,Hatsune Miku,Crumb,Matt Sturniolo,Chris Sturniolo,AmazingPhil
Jun 3,Helluva Boss,Dan and Phil,The Amazing Digital Circus,Hermitcraft,Fantasy High: Junior Year,Homestuck,The Magnus Archives,The Magnus Protocol,AmazingPhil,Critical Role,Grian,Daniel Howell,Technoblande,GoodTimesWithScar,Hatsune Miku,SmallishBeans,EthosLab,Malevolent,Matt Sturniolo,Chris Sturniolo
Jun 10,Hermitcraft,Game Changer,Critical Role,Fantasy High: Junior Year,The Amazing Digital Circus,The Magnus Archives,Helluva Boss,Homestuck,Grian,Dan and Phil,GoodTimesWithScar,Hatsune Miku,Brennan Lee Mulligan,The Magnus Protocol,PearlescentMoon,Ally Beardsley,AmazingPhil,ImpulseSV,SmallishBeans,Matt Sturniolo
Jun 17,Dan and Phil,Hermitcraft,The Amazing Digital Circus,The Magnus Archives,Homestuck,Helluva Boss,Critical Role,Hatsune Miku,Daniel Howell,Dimension 20,Grian,The Magnus Protocol,AmazingPhil,Game Changer,EthosLab,GoodTimesWithScar,PearlescentMoon,Chris Sturniolo,Matt Sturniolo,Threeface Diaries
Jun 24,Helluva Boss,Dan and Phil,Hermitcraft,Critical Role,The Magnus Archives,The Amazing Digital Circus,Game Changer,Homestuck,Grian,Hatsune Miku,Brennan Lee Mulligan,AmazingPhil,Matt Sturniolo,Daniel Howell,Dimension 20,Chris Sturniolo,Ratfish,EthosLab,Nick Sturniolo,GoodTimesWithScar
Jul 1,Helluva Boss,Hermitcraft,Dimension 20,Dan and Phil,The Amazing Digital Circus,Brennan Lee Mulligan,The Magnus Archives,Homestuck,Make Some Noise,Grian,Hatsune Miku,Critical Role,AmazingPhil,Daniel Howell,Matt Sturniolo,Game Changer,Malevolent,GoodTimesWithScar,Chris Sturniolo,Zac Oyama
Jul 8,EPIC: The Musical,Dimension 20,Hermitcraft,Helluva Boss,Dan and Phil,The Magnus Archives,Homestuck,The Amazing Digital Circus,Matt Sturniolo,Chris Sturniolo,Critical Role,Hatsune Miku,Grian,AmazingPhil,Daniel Howell,Nick Sturniolo,RWBY,Malevolent,PearlescentMoon,Matthew Sturniolo
Jul 22,Hermitcraft,The Magnus Archives,Critical Role,Dimension 20,Dan and Phil,The Magnus Protocol,Homestuck,EPIC: The Musical,Hatsune Miku,The Amazing Digital Circus,Matt Sturniolo,Chris Sturniolo,Helluva Boss,Grian,Daniel Howell,PearlescentMoon,AmazingPhil,Nick Sturniolo,GoodTimesWithScar,Amaury Guichon
Jul 29,Hermitcraft,The Magnus Archives,Critical Role,Homestuck,Dimension 20,Grian,Dan and Phil,Make Some Noise,The Magnus Protocol,Lou Wilson,Matt Sturniolo,Hatsune Miku,GoodTimesWithScar,Chris Sturniolo,EPIC: The Musical,The Amazing Digital Circus,Nick Sturniolo,Malevolent,Helluva Boss,AmazingPhil
Aug 5,Critical Role,Hermitcraft,The Magnus Archives,Dan and Phil,Homestuck,Dimension 20,Grian,Hatsune Miku,Matt Sturniolo,The Magnus Protocol,Helluva Boss,Chris Sturniolo,Nick Sturniolo,GoodTimesWithScar,EPIC: The Musical,The Amazing Digital Circus,Malevolent,Daniel Howell,PearlescentMoon,AmazingPhil
Aug 12,The Magnus Archives,Hermitcraft,Critical Role,Dan and Phil,Homestuck,Dimension 20,Hatsune Miku,Matt Sturniolo,Grian,Chris Sturniolo,EPIC: The Musical,The Magnus Protocol,Nick Sturniolo,Helluva Boss,The Amazing Digital Circus,GoodTimesWithScar,PearlescentMoon,Malevolent,EthosLab,GeminiTay
Aug 19,Hermitcraft,Critical Role,Dan and Phil,The Magnus Archives,Homestuck,Grian,Dimension 20,Hatsune Miku,Matt Sturniolo,Chris Sturniolo,The Magnus Protocol,EPIC: The Musical,Nick Sturniolo,AmazingPhil,The Amazing Digital Circus,Daniel Howell,GoodTimesWithScar,Starkid,PearlescentMoon,Mumbo Jumbo
Aug 26,Hatsune Miku,Dan and Phil,Critical Role,Hermitcraft,The Magnus Archives,Homestuck,Matt Sturniolo,Dimension 20,Chris Sturniolo,The Magnus Protocol,Grian,Nick Sturniolo,AmazingPhil,GoodTimesWithScar,EPIC: The Musical,Daniel Howell,The Amazing Digital Circus,Malevolent,EthosLab,PearlescentMoon
Sep 2,Hatsune Miku,EPIC: The Musical,Dan and Phil,Hermitcraft,Homestuck,The Magnus Archives,GoodTimesWithScar,Critical Role,Matt Sturniolo,Chris Sturniolo,Daniel Howell,AmazingPhil,Dimension 20,The Magnus Protocol,Grian,Nick Sturniolo,Malevolent,The Amazing Digital Circus,Shen Comix,Helluva Boss
Sep 9,Hatsune Miku,Dan and Phil,EPIC: The Musical,Hermitcraft,Helluva Boss,Homestuck,Critical Role,The Magnus Archives,GoodTimesWithScar,Dimension 20,Matt Sturniolo,Grian,Chris Sturniolo,The Magnus Protocol,Nick Sturniolo,The Amazing Digital Circus,EthosLab,Crumb,Malevolent,Inanimate Insanity
Sep 16,Hatsune Miku,EPIC: The Musical,Hermitcraft,Critical Role,The Magnus Protocol,Dan and Phil,Homestuck,The Magnus Archives,Grian,Matt Sturniolo,Chris Sturniolo,Dimension 20,Inanimate Insanity,Nick Sturniolo,GoodTimesWithScar,The Amazing Digital Circus,Shen Comix,PearlescentMoon,Mumbo Jumbo,Malevolent
Oct 7,The Amazing Digital Circus,Critical Role,Dan and Phil,EPIC: The Musical,Hermitcraft,Hatsune Miku,Helluva Boss,The Magnus Archives,Homestuck,Parkour Civilization,Dimension 20,Grian,Matt Sturniolo,Chris Sturniolo,Misfits and Magic,GoodTimesWithScar,Dracula Daily,The Magnus Protocol,Nick Sturniolo,GeminiTay
Oct 14,The Amazing Digital Circus,Dan and Phil,Critical Role,Parkour Civilization,Hermitcraft,Inanimate Insanity,TommyInnit,Homestuck,EPIC: The Musical,The Magnus Archives,Hatsune Miku,Evbo,Daniel Howell,Grian,Misfits and Magic,Dimension 20,Chris Sturniolo,Matt Sturniolo,AmazingPhil,GoodTimesWithScar
